Timestamp,2020-03-16 17:04:51,Timestamp,2020-03-16 17:04:51
Interval,0.0005,Interval,0.0005
Channel name,"Force",Channel name,"Input 1"
Unit,"V",Unit,"V"
0,-0.12917863583060313,0,-3.2159208831317652
0.0005,-0.13098080984975924,0.0005,-3.2207498360957043
0.001,-0.12377211410157918,0.001,-3.2152770227502967
0.0015,-0.12692591838384315,0.0015,-3.2143112321841456
0.002,-0.1302728129070978,0.002,-3.2159208831317652
0.0025,-0.13323352745130149,0.0025,-3.2168866737100212
0.003,-0.12518810784036735,0.003,-3.2152770227502967
0.0035,-0.12821318548580063,0.0035,-3.2139893019970422
0.004,-0.12847063890954269,0.004,-3.2159208831317652
0.0045,-0.13117389992650738,0.0045,-3.2162428133237104
0.005,-0.12699028173827873,0.005,-3.2162428133237104
0.0055,-0.12892118240378325,0.0055,-3.2143112321841456
0.006,-0.12454447431858406,0.006,-3.2155989529406277
0.0065,-0.13014408619116369,0.0065,-3.2162428133237104
0.007,-0.12859936562183313,0.007,-3.2159208831317652
0.0075,-0.12364338739971265,0.0075,-3.2152770227502967
0.008,-0.12917863583060313,0.008,-3.2168866737100212
0.0085,-0.12647537490474328,0.0085,-3.2152770227502967
0.009,-0.13265425720264604,0.009,-3.2172086039043877
0.0095,-0.12673282832095417,0.0095,-3.2178524642955413
0.01,-0.12634664819705518,0.01,-3.2165647435164622
0.0105,-0.1310451732086049,0.0105,-3.2188182548883275
0.011,-0.1296935426876053,0.011,-3.2159208831317652
0.0115,-0.12596046807565933,0.0115,-3.2172086039043877
0.012,-0.12731209851150152,0.012,-3.2159208831317652
0.0125,-0.12847063890954269,0.0125,-3.2162428133237104
0.013,-0.12924299918748314,0.013,-3.2159208831317652
0.0135,-0.12904990911705316,0.0135,-3.2146331623720559
0.014,-0.12808445877434882,0.014,-3.2162428133237104
0.0145,-0.12763391528646695,0.0145,-3.2168866737100212
0.015,-0.12950045261570384,0.015,-3.2165647435164622
0.0155,-0.12995099611778907,0.0155,-3.2146331623720559
0.016,-0.1340058877917589,0.016,-3.2155989529406277
0.0165,-0.13323352745130149,0.0165,-3.2159208831317652
0.017,-0.12699028173827873,0.017,-3.2159208831317652
0.0175,-0.12615355813604454,0.0175,-3.2168866737100212
0.018,-0.12821318548580063,0.018,-3.2152770227502967
0.0185,-0.13162444344138391,0.0185,-3.2178524642955413
0.019,-0.12589610472233656,0.019,-3.2152770227502967
0.0195,-0.12718337180200337,0.0195,-3.2130235114405705
0.02,-0.13001535947551043,0.02,-3.2155989529406277
0.0205,-0.13336225417400296,0.0205,-3.2172086039043877
0.021,-0.12737646186635515,0.021,-3.2149550925607726
0.0215,-0.12428702091180938,0.0215,-3.2152770227502967
0.022,-0.12840627555350234,0.022,-3.2146331623720559
0.0225,-0.13278298392407459,0.0225,-3.2152770227502967
0.023,-0.12711900844735882,0.023,-3.2155989529406277
0.0235,-0.12904990911705316,0.0235,-3.2146331623720559
0.024,-0.12898554576038321,0.024,-3.2159208831317652
0.0245,-0.13162444344138391,0.0245,-3.2162428133237104
0.025,-0.12802009541872769,0.025,-3.2149550925607726
0.0255,-0.12731209851150152,0.0255,-3.2149550925607726
0.026,-0.12544556125102113,0.026,-3.2159208831317652
0.0265,-0.1298866327601379,0.0265,-3.2165647435164622
0.027,-0.12892118240378325,0.027,-3.2159208831317652
0.0275,-0.1274408252212785,0.0275,-3.2149550925607726
0.028,-0.1296935426876053,0.028,-3.2155989529406277
0.0285,-0.13239680376063662,0.0285,-3.2168866737100212
0.029,-0.13053026633980883,0.029,-3.2155989529406277
0.0295,-0.12608919478251329,0.0295,-3.2146331623720559
0.03,-0.13304043736777996,0.03,-3.2165647435164622
0.0305,-0.13110953656752095,0.0305,-3.2162428133237104
0.031,-0.1310451732086049,0.031,-3.2149550925607726
0.0315,-0.12814882213003981,0.0315,-3.2146331623720559
0.032,-0.12975790604504603,0.032,-3.2162428133237104
0.0325,-0.12802009541872769,0.0325,-3.2149550925607726
0.033,-0.12802009541872769,0.033,-3.2162428133237104
0.0335,-0.13001535947551043,0.0335,-3.2143112321841456
0.034,-0.12866372897808323,0.034,-3.2159208831317652
0.0345,-0.12686155502947721,0.0345,-3.2152770227502967
0.035,-0.12937172590145335,0.035,-3.2149550925607726
0.0355,-0.12917863583060313,0.0355,-3.2149550925607726
0.036,-0.13252553048150006,0.036,-3.2152770227502967
0.0365,-0.12924299918748314,0.0365,-3.2139893019970422
0.037,-0.12596046807565933,0.037,-3.2159208831317652
0.0375,-0.12570301466278488,0.0375,-3.2133454416252545
0.038,-0.13046590298152566,0.038,-3.2162428133237104
0.0385,-0.13046590298152566,0.0385,-3.2143112321841456
0.039,-0.12911427247379312,0.039,-3.2165647435164622
0.0395,-0.12673282832095417,0.0395,-3.2152770227502967
0.04,-0.13207498695971348,0.04,-3.2162428133237104
0.0405,-0.13168880680093378,0.0405,-3.2146331623720559
0.041,-0.13728841935283273,0.041,-3.2155989529406277
0.0415,-0.13709532925587331,0.0415,-3.2191401850875381
0.042,-0.15054727423273312,0.042,-3.2162428133237104
0.0425,-0.16148905003265124,0.0425,-3.2162428133237104
0.043,-0.16895520418501647,0.043,-3.2152770227502967
0.0435,-0.18182788620471327,0.0435,-3.2152770227502967
0.044,-0.19869110446986626,0.044,-3.2149550925607726
0.0445,-0.21748523226312777,0.0445,-3.2155989529406277
0.045,-0.23537827852575011,0.045,-3.2152770227502967
0.0455,-0.25552405467598543,0.0455,-3.2152770227502967
0.046,-0.27451129607730052,0.046,-3.2159208831317652
0.0465,-0.3048908997944732,0.0465,-3.2172086039043877
0.047,-0.32535852680943295,0.047,-3.2155989529406277
0.0475,-0.34511816420789421,0.0475,-3.2152770227502967
0.048,-0.36938327040056018,0.048,-3.2159208831317652
0.0485,-0.39403457506436163,0.0485,-3.2162428133237104
0.049,-0.41295752029130883,0.049,-3.2155989529406277
0.0495,-0.43239538643721315,0.0495,-3.2130235114405705
0.05,-0.45826964969172596,0.05,-3.2143112321841456
0.0505,-0.48459448113913756,0.0505,-3.2130235114405705
0.051,-0.49598689672065494,0.051,-3.2143112321841456
0.0515,-0.51304334606734514,0.0515,-3.2123796510736224
0.052,-0.53917513265176364,0.052,-3.2130235114405705
0.0525,-0.56543567098036995,0.0525,-3.2120577208913574
0.053,-0.58474490596805206,0.053,-3.2120577208913574
0.0535,-0.60637126530337992,0.0535,-3.2120577208913574
0.054,-0.62020956985607523,0.054,-3.2107700001703616
0.0545,-0.62362087395163934,0.0545,-3.2107700001703616
0.055,-0.63108712597516947,0.055,-3.2091603492872531
0.0555,-0.62690345000953274,0.0555,-3.2091603492872531
0.056,-0.62651726456958934,0.056,-3.2094822794622631
0.0565,-0.61396624086209795,0.0565,-3.2094822794622631
0.057,-0.60051412460871711,0.057,-3.2075506984242899
0.0575,-0.59581554013739157,0.0575,-3.2033656062748115
0.058,-0.59233987543681477,0.058,-3.2052971872499709
0.0585,-0.58957221682639882,0.0585,-3.2059410475814643
0.059,-0.57515465091137918,0.059,-3.2036875364353263
0.0595,-0.57431791740647475,0.0595,-3.1988585841120862
0.06,-0.57599138444151521,0.06,-3.2020778856408021
0.0605,-0.57328809158888494,0.0605,-3.199180514261339
0.061,-0.56067272840410165,0.061,-3.201112095173742
0.0615,-0.56028654390616706,0.0615,-3.2007901650196642
0.062,-0.55745452441580989,0.062,-3.1988585841120862
0.0625,-0.54477480424414515,0.0625,-3.2001463047139218
0.063,-0.53724421166419056,0.063,-3.1953173525233551
0.0635,-0.53544201885822196,0.0635,-3.1937077018333428
0.064,-0.5322238176961992,0.064,-3.1920980511634065
0.0645,-0.53158017750634112,0.0645,-3.1914541909010521
0.065,-0.52958489300768852,0.065,-3.1901664703859733
0.0655,-0.526559784510375,0.0655,-3.1888787498837345
0.066,-0.52424268033966681,0.066,-3.1869471691544398
0.0665,-0.52385649632890141,0.0665,-3.1869471691544398
0.067,-0.52269794432687477,0.067,-3.1843717282269481
0.0675,-0.53396164627961185,0.0675,-3.1798647067272352
0.068,-0.53904640458192743,0.068,-3.1824401475649893
0.0685,-0.54168533012793296,0.0685,-3.1824401475649893
0.069,-0.5524341269231402,0.069,-3.1792208465258036
0.0695,-0.56344038412735686,0.0695,-3.1731041747718325
0.07,-0.57457537386683644,0.07,-3.1753576853844372
0.0705,-0.58577473221306176,0.0705,-3.1763234756589775
0.071,-0.59826137852730699,0.071,-3.1727822446875154
0.0715,-0.60566325921738207,0.0715,-3.1656997830346723
0.072,-0.61235713568989869,0.072,-3.1682752235909821
0.0725,-0.61827864320548587,0.0725,-3.1656997830346723
0.073,-0.61840737164446002,0.073,-3.1637682026509606
0.0735,-0.61177785785177075,0.0735,-3.162158552353139
0.074,-0.60881710465381345,0.074,-3.1599050419696795
0.0745,-0.60849528367385397,0.0745,-3.1582953917196921
0.075,-0.60817346269777495,0.075,-3.1566857414896243
0.0755,-0.61325823457431372,0.0755,-3.1563638114460004
0.076,-0.62555180099467778,0.076,-3.1525006509846158
0.0765,-0.63295368931515694,0.0765,-3.1515348608871774
0.077,-0.63958320847145611,0.077,-3.1463839804883929
0.0775,-0.64962403685294245,0.0775,-3.1409111702875752
0.078,-0.65181242304931497,0.078,-3.1431646803424704
0.0785,-0.63501334557020694,0.0785,-3.1386576602715692
0.079,-0.59909811276415326,0.079,-3.1367260802887884
0.0795,-0.57354554803970537,0.0795,-3.1370480102839355
0.08,-0.54631954142650174,0.08,-3.132862920408849
0.0805,-0.52160375636660483,0.0805,-3.1357602903081028
0.081,-0.51079060692249256,0.081,-3.1273901107741984
0.0815,-0.50712186067640996,0.0815,-3.1244927410602146
0.082,-0.50280947530783549,0.082,-3.1212734414531291
0.0825,-0.51581099724864932,0.0825,-3.1151567724173135
0.083,-0.52926307293997754,0.083,-3.1161225622461259
0.0835,-0.54825046302124747,0.0835,-3.1122594029734816
0.084,-0.56266801506096542,0.084,-3.1106497533100668
0.0845,-0.56994115794485023,0.0845,-3.1061427343573245
0.085,-0.57180771704289968,0.085,-3.1038892249388437
0.0855,-0.57200080937052067,0.0855,-3.1000260660254497
0.086,-0.57534774326224702,0.086,-3.0974506268127726
0.0865,-0.57863031343288607,0.0865,-3.0922997485382893
0.087,-0.57586265620446642,0.087,-3.0906900991187385
0.0875,-0.58094742202331173,0.0875,-3.0832857120413792
0.088,-0.58860675458654599,0.088,-3.0848953613707439
0.0885,-0.59639481763080648,0.0885,-3.0816760627315993
0.089,-0.6047621605895499,0.089,-3.0791006238766725
0.0895,-0.61235713568989869,0.0895,-3.0704085181109391
0.09,-0.62432888051756852,0.09,-3.0716962374476808
0.0905,-0.63424097445539074,0.0905,-3.0720181672838196
0.091,-0.63128021872826345,0.091,-3.0649357110691753
0.0915,-0.62625980761279576,0.0915,-3.0639699216146301
0.092,-0.62317032432872488,0.092,-3.0588190446422421
0.0925,-0.62336341702331244,0.0925,-3.0588190446422421
0.093,-0.62181867550636849,0.093,-3.052380448707197
0.0935,-0.62072448365346367,0.0935,-3.0491611508563934
0.094,-0.61209967887139427,0.094,-3.0436883446883995
0.0945,-0.60006357537737776,0.0945,-3.041112906569353
0.095,-0.5903445866428807,0.095,-3.0362839602299645
0.0955,-0.58931476022576534,0.0955,-3.0327427330252594
0.096,-0.60540580246347975,0.096,-3.0285576464495971
0.0965,-0.60263814251518033,0.0965,-3.0243725600046889
0.097,-0.61692699463414569,0.097,-3.0211532628282716
0.0975,-0.6115204010388765,0.0975,-3.0217971222573743
0.098,-0.60630690111296981,0.098,-3.014392739009137
0.0985,-0.60752982075725326,0.0985,-3.0018374813897668
0.099,-0.61055493801271321,0.099,-3.0063444968106952
0.0995,-0.63359733187728962,0.0995,-3.000549762725762
0.1,-0.64080612966680872,0.1,-2.9973304661195521
0.1005,-0.65232733747581606,0.1005,-2.9876725767615837
0.101,-0.64299451510883876,0.101,-2.9896041545779446
0.1015,-0.63346860336358601,0.1015,-2.9825217027194784
0.102,-0.6403555797459749,0.102,-2.9799462657719302
0.1025,-0.69950641682584003,0.1025,-2.9712541664352736
0.103,-0.73316903561410018,0.103,-2.9696445184710814
0.1035,-0.71418151055181411,0.1035,-2.9667471521836135
0.104,-0.65123314433196478,0.104,-2.9615962789361876
0.1045,-0.55861307780942804,0.1045,-2.9586989128202279
0.105,-0.5490871957526785,0.105,-2.9532261103249575
0.1055,-0.59581554013739157,0.1055,-2.9487190966703225
0.106,-0.64222214375508169,0.106,-2.9419585764674405
0.1065,-0.64679200793648084,0.1065,-2.9332664795550434
0.107,-0.6178280936740197,0.107,-2.9326226205464554
0.1075,-0.57193644526116494,0.1075,-2.9303691140402286
0.108,-0.54786427869190302,0.108,-2.9236085947438069
0.1085,-0.57612011267916186,0.1085,-2.9104094866004475
0.109,-0.61641208091086841,0.109,-2.9129849222362574
0.1095,-0.63951884419962457,0.1095,-2.9087998393525307
0.11,-0.59131004894426531,0.11,-2.902683179981937
0.1105,-0.534734014572116,0.1105,-2.8901279326495106
0.111,-0.50094292063693902,0.111,-2.893347226728558
0.1115,-0.53396164627961185,0.1115,-2.8865867092490771
0.112,-0.58680455849677526,0.112,-2.881435839010094
0.1125,-0.63462716000992125,0.1125,-2.8772507570818449
0.113,-0.66397727917497795,0.113,-2.870812169746324
0.1135,-0.65612483169384483,0.1135,-2.8656613000926798
0.114,-0.65940741190069774,0.114,-2.860832359965547
0.1145,-0.65934304757881435,0.1145,-2.8540718440687072
0.115,-0.66281872119587215,0.115,-2.8492429043429497
0.1155,-0.69223323771975076,0.1155,-2.8447358940828376
0.116,-0.70182353629199767,0.116,-2.837653449681762
0.1165,-0.71604808013625876,0.1165,-2.8341122276155306
0.117,-0.70150171413061679,0.117,-2.827995571529923
0.1175,-0.6977685773720268,0.1175,-2.8215569864644854
0.118,-0.74153642442267897,0.118,-2.8151184016938107
0.1185,-0.74269498618770668,0.1185,-2.8086798172174419
0.119,-0.77030739224121758,0.119,-2.8054605250894791
0.1195,-0.79431540914074417,0.1195,-2.8006315870351504
0.12,-0.7475866920582741,0.12,-2.7935491448538223
0.1205,-0.69081722080177876,0.1205,-2.7883982780353977
0.121,-0.63089403322350868,0.121,-2.7806719781585749
0.1215,-0.56987679384024825,0.1215,-2.7681167417547505
0.122,-0.56221746644868587,0.122,-2.7694044582580131
0.1225,-0.56923315280238518,0.1225,-2.7613562303034835
0.123,-0.57155026060815362,0.123,-2.7568492228472596
0.1235,-0.56447020958219207,0.1235,-2.7523422155332149
0.124,-0.58120487854537561,0.124,-2.7452597757551724
0.1245,-0.60193013652772331,0.1245,-2.7391431235013561
0.125,-0.59156750556374882,0.125,-2.7327045424632233
0.1255,-0.61641208091086841,0.1255,-2.7288413939788279
0.126,-0.6285769203152537,0.126,-2.7214370263402907
0.1265,-0.62098194055593503,0.1265,-2.7162861621204963
0.127,-0.6122927714850388,0.127,-2.7079160081553622
0.1275,-0.6812269265604971,0.1275,-2.6982581387975655
0.128,-0.6898517547684857,0.128,-2.6950388491547081
0.1285,-0.62825509909428456,0.1285,-2.6850590517156117
0.129,-0.61370878402799045,0.129,-2.6802301177168562
0.1295,-0.59523626265636731,0.1295,-2.6757231127958483
0.13,-0.65998669080504113,0.13,-2.6663871744740275
0.1305,-0.64885166529910554,0.1305,-2.658017023382365
0.131,-0.67388938852281244,0.131,-2.6531880902779776
0.1315,-0.67240900830493999,0.1315,-2.650290730491712
0.132,-0.63662245213340152,0.132,-2.6383793630822594
0.1325,-0.69184705127941648,0.1325,-2.6325846441508189
0.133,-0.67311701622422371,0.133,-2.6258241390187917
0.1335,-0.64962403685294245,0.1335,-2.6180978478184462
0.134,-0.63218131826166035,0.134,-2.6106934857968795
0.1345,-0.64222214375508169,0.1345,-2.6039329816655603
0.135,-0.6492378510730995,0.135,-2.5971724778421605
0.1355,-0.61860046430409887,0.1355,-2.59041197432615
0.136,-0.62323468856009612,0.136,-2.5826856849692823
0.1365,-0.61602589562498944,0.1365,-2.5817198988278158
0.137,-0.60083594549285912,0.137,-2.566267321413096
0.1375,-0.63121585447707296,0.1375,-2.5643357493484142
0.138,-0.65914995461414994,0.138,-2.5530682461333063
0.1385,-0.63752355185252019,0.1385,-2.5543559607436861
0.139,-0.63321114633809461,0.139,-2.5369718144327864
0.1395,-0.64080612966680872,0.1395,-2.5282797420284
0.14,-0.66140270596061668,0.14,-2.5218411701989143
0.1405,-0.67794434348503996,0.1405,-2.5176560986564174
0.141,-0.68283603607086107,0.141,-2.5083201702465465
0.1415,-0.66603693793661045,0.1415,-2.4993061709461744
0.142,-0.66668058133434793,0.142,-2.4915798862557095
0.1425,-0.66359109317600284,0.1425,-2.481278173942675
0.143,-0.64775747230452929,0.143,-2.47773696049514
0.1435,-0.68309349360228411,0.1435,-2.4693668199440708
0.144,-0.72299944401860161,0.144,-2.4626063221394894
0.1445,-0.68888628877337177,0.1445,-2.4532703970877248
0.145,-0.65136187293468029,0.145,-2.4452221862894858
0.1455,-0.63926138711390623,0.1455,-2.4342766202757402
0.146,-0.64241523659134359,0.146,-2.4307354079073393
0.1465,-0.66011541945225871,0.1465,-2.4204336996581914
0.147,-0.66828968990115178,0.147,-2.4159267025136284
0.1475,-0.64511853645153727,0.1475,-2.4043372818827078
0.148,-0.61988774873782038,0.148,-2.3998302852027953
0.1485,-0.6101043886124865,0.1485,-2.386631224243108
0.149,-0.64756437942800127,0.149,-2.382124228071997
0.1495,-0.6792316309135813,0.1495,-2.3702128816695169
0.15,-0.70793815817596972,0.15,-2.3644181729340925
0.1505,-0.68785645842062171,0.1505,-2.3560480384689857
0.151,-0.68174184159237072,0.151,-2.3483217608937217
0.1515,-0.63263186804007543,0.1515,-2.3402735554859833
0.152,-0.59227551127988831,0.152,-2.3309376377229691
0.1525,-0.58384380803538083,0.1525,-2.316128941701828
0.153,-0.617055723066532,0.153,-2.3141973727566554
0.1535,-0.62671035728884794,0.1535,-2.3045395283797823
0.154,-0.67775125037654205,0.154,-2.2968132532963303
0.1545,-0.71855829463622045,0.1545,-2.2877992661674877
0.155,-0.66545765889279329,0.155,-2.2797510637992704
0.1555,-0.68779209402501462,0.1555,-2.2736344302672489
0.156,-0.65206988026126178,0.156,-2.2610792358454463
0.1565,-0.63765228038638833,0.1565,-2.2507775385824442
0.157,-0.64640582219947162,0.157,-2.2414416259999665
0.1575,-0.66005105512856777,0.1575,-2.2343592099137259
0.158,-0.66127397730681903,0.158,-2.2243794423117005
0.1585,-0.6379097374560494,0.1585,-2.2189066667874084
0.159,-0.62992856948669151,0.159,-2.2053856927424174
0.1595,-0.61834300742489445,0.1595,-2.1995909899193191
0.16,-0.58255652532570112,0.16,-2.1876796569754657
0.1605,-0.63192386124893118,0.1605,-2.17930953163446
0.161,-0.66243253521471157,0.161,-2.169651695225586
0.1615,-0.65412953805076768,0.1615,-2.1635350657891599
0.162,-0.61634771669616373,0.162,-2.1503360240831144
0.1625,-0.64640582219947162,0.1625,-2.1477606014323785
0.163,-0.63758791611937404,0.163,-2.1303764995715588
0.1635,-0.72879224881765459,0.1635,-2.1213625215344272
0.164,-0.69358489030916226,0.164,-2.1120266162164394
0.1645,-0.62831946333816091,0.1645,-2.1033345668994197
0.165,-0.66069469837287653,0.165,-2.093354807120126
0.1655,-0.64305887938936701,0.1655,-2.0843408310471094
0.166,-0.66494274419842192,0.166,-2.0737172169993512
0.1665,-0.68882192437505396,0.1665,-2.0640593866176724
0.167,-0.6709286281751905,0.167,-2.0547234844306486
0.1675,-0.65071822992761441,0.1675,-2.0457095103845546
0.168,-0.67807307222487645,0.168,-2.035085898718759
0.1685,-0.66861151162694565,0.1685,-2.0251061428978256
0.169,-0.70600722478134059,0.169,-2.0148044600698634
0.1695,-0.69068849199513249,0.1695,-2.0032150676147862
0.17,-0.72299944401860161,0.17,-1.9942010962353702
0.1705,-0.68225675663501184,0.1705,-1.9838994152250895
0.171,-0.67826616533588791,0.171,-1.9742415898248562
0.1715,-0.61499606822352704,0.1715,-1.9594329252355094
0.172,-0.71810774329615801,0.172,-1.954282085668136
0.1725,-0.81401101358050831,0.1725,-1.9436584795313334
0.173,-0.58165542746477716,0.173,-1.9333568014573561
0.1735,-0.75910795079024762,0.1735,-1.922733196564576
0.174,-0.56047963615447416,0.174,-1.9140411566653486
0.1745,-0.61171349364831351,0.1745,-1.902773698161097
0.175,-0.60006357537737776,0.175,-1.8927939497870727
0.1755,-0.67717197106009408,0.1755,-1.8824922746225392
0.176,-0.71669172485453236,0.176,-1.8738002366565512
